Arts,Adapted/Integrated,Onsite Registration,Multi Purpose Room(s),Skating Rink,Gymnasium,Phone #,Facility Name,Skating Lessons,Latitude,General Interest,Swimming Pool,Address,Swimming Lessons,Preschool,Fitness Centre,Leadership/Youth,Weight Room,Longitude,Fitness,Camps,Sports,Older Adults,Other Amenities (see legend),Accessibility,Map #,Priority Centre,Map Grid #
,,Yes,,,,311,Toronto City Hall,,43.6535028,,,"100 Queen St W,Toronto,Ontario,Canada",,,,,,-79.3841333,,,,,,Full,A,,G6
,,,,,,311,East York Civic Centre,,43.6921389,,,"850 Coxwell Ave,Toronto,Ontario,Canada",,,,,,-79.3272949,,,,,,Full,B,,D11
44,,,,,Yes,416-392-0741,Adam Beck CC,,43.6827332,44,,"79 Lawlor Ave,Toronto,Ontario,Canada",,44,,44,,-79.2892843,44,22,44,,"8,12",Partial,1,,F13
,,,,,,416-392-1366,Allan A. Lamport Stadium,,43.6410912,,,"1151 King St W,Toronto,Ontario,Canada",,,,,,-79.4165483,,,,,12,Partial,2,,H2
45,,,,,Yes,416-392-6972,Balmy Beach CC,,43.6760256,45,,"14 Pine Ave,Toronto,Ontario,Canada",,45,,45,,-79.2903158,45,22,45,,12,Partial,3,,G13
45,"17,19",Yes,Yes,,Yes,416-392-0740,Beaches RC,,43.6736677,45,Indoor,"6 Williamson Rd,Toronto,Ontario,Canada","66,68,77",45,Yes,45,Yes,-79.2991210,45,22,46,30,,Partial,4,,G12
46,,,Yes,,Yes,416-392-0744,Bob Abate CRC,,43.6628492,46,,"485 Montrose Ave,Toronto,Ontario,Canada",,46,,46,,-79.4208191,46,22,47,,8,Partial,5,,E4
47,17,,Yes,,Yes,416-392-6826,Brown CC,,43.6851420,,Indoor,"454 Avenue Rd,Toronto,Ontario,Canada","68,77",47,,47,,-79.4011696,47,23,47,30,,Partial,6,,C5
,,,,,Yes,416-392-1950,DA Morrison JHS,,43.6947629,,Indoor,"271 Gledhill Ave,Toronto,Ontario,Canada","68,77",,,,,-79.3120387,,23,,,,Full,7,,D12
47,17,,,,Yes,416-392-0752,Earl Beatty CC,,43.6863729,47,Indoor,"455 Flebeholme Blvd,Toronto,Ontario,Canada","66,69,78",47,,47,,-79.3217544,47,23,47,,,Partial,8,,G11
47,17,Yes,,,Yes,416-396-2880,East York CC,,43.6589804,,Indoor,"1081 1/2 Pape Ave,Toronto,Ontario,Canada","66, 69, 78",48,Yes,,Yes,-79.3367761,48,23,48,30,8,Full,9,,E8
,,,,Indoor,,416-396-2869,East York Memorial Arena,60,43.6969229,,,"888 Cosburn Ave,Toronto,Ontario,Canada",,,,,,-79.3155407,,,,,,Full,10,,D9
48,18,,Yes,,Yes,416-392-7060,Fairmont Park CC,,43.6714536,,Indoor,"1757 Gerrard St E,Toronto,Ontario,Canada","66, 70, 79",,,,,-79.3255148,48,23,48,,8,Partial,11,,G10
48,,,Yes,,Yes,416-392-0749,Frankland CC,,0.0,48,Indoor,"816 Logan Ave,Toronto,Ontario,Canada",71,48,,48,,0.0,,23,48,,,Partial,12,,F8
,,,,,Yes,416-392-1950,Gordon A Brown MS,,0.0,,Indoor,"2800 St Clair Ave E,Toronto,Ontario,Canada","66, 71",,,,,0.0,,,49,,,Partial,13,,C13
,,,,,,416-392-7984,Harrison Pool,,0.0,,,"15 Stephanie St,Toronto,Ontario,Canada",,,,,,0.0,,,,,,Partial,14,,G5
49,18,Yes,Yes,,Yes,416-392-0746,Hillcrest CC,,0.0,,Indoor,"1339 Bathurst St,Toronto,Ontario,Canada","71,79",49,Yes,,Yes,0.0,49,23,49,,,Partial,15,,A4
49,,,Yes,,Yes,416-392-6695,Holy Family CC,,0.0,49,,"141 Close Ave,Toronto,Ontario,Canada",,,,,,0.0,,,49,,,Partial,16,,G2
49,18,,Yes,Outdoor,Yes,416-392-0751,Jimmie Simpson RC/Park,,43.6599872,49,Indoor,"870 Queen St E,Toronto,Ontario,Canada","66,71",49,,,,-79.3452295,49,24,"49,50",,"8,10",Partial,17,Yes,G8
50,"18,19",Yes,,,Yes,416-392-6779,John Innes CRC,,43.6546074,50,Indoor,"150 Sherbourne St,Toronto,Ontario,Canada","66,72,79",50,,,Yes,-79.3694930,50,24,50,,"1,8,12,13,16",Partial,18,Yes,H7
50,18,Yes,Yes,,,416-392-1070,Main Square CRC,,43.6870298,50,Indoor,"245 Main St,Toronto,Ontario,Canada","66,67,79",50,Yes,50,Yes,-79.3001640,50,24,50,30,8,Full,19,,E12
51,,,,,,416-392-0734,Maple Cottage,,43.6633308,,,"62 Laing St,Toronto,Ontario,Canada",,,,,,-79.3271347,,24,,,,Full,20,,G10
51,18,Yes,,,Yes,416-392-0742,Mary McCormick RC,,43.6473750,51,Indoor,"66 Sheridan  Ave,Toronto,Ontario,Canada","66,73,80",51,Yes,,Yes,-79.4328083,51,24,51,30,"8,16",Partial,21,,F2
51,18,Yes,,,Yes,416-392-6928,Masaryk-Cowan CRC,,43.6407414,51,,"220 Cowan Ave,Toronto,Ontario,Canada",,51,,,Yes,-79.4330559,51,25,51,30,8,Partial,22,Yes,G2
52,,Yes,Yes,,Yes,416-392-0750,Matty Eckler CRC,,43.6679570,52,Indoor,"953 Gerrard St E,Toronto,Ontario,Canada","66,73,80",52,Yes,,Yes,-79.3387556,52,25,52,30,8,Partial,23,,G10
53,,Yes,,,Yes,416-392-0747,Maurice Cody CC,,43.7045229,,,"181 Cleveland St,Toronto,Ontario,Canada",,53,,,,-79.3783750,,25,53,,8,Partial,24,,B7
,,,,Indoor Private,,416-392-0647,McCormick Arena,,43.6471639,,,"179 Brock Ave,Toronto,Ontario,Canada",,,,,,-79.4343650,,,,,1,Partial,25,,F2
,,,,Indoor Private,,416-392-1060,Moss Park Arena,,43.6550625,,,"140 Sherbourne St,Toronto,Ontario,Canada",,,,,,-79.3700796,,,,,"1,12",Partial,18,,H7
53,,Yes,Yes,,Yes,416-392-6696,Parkdale CRC,,0.0,53,Indoor,"75 Lansdowne Ave,Toronto,Ontario,Canada","74,81",53,,,,0.0,,25,53,,,Full,26,,G2
